user_id,signup_date,cohort_month,country,device_type,traffic_source,email_verified,workspace_created,onboarding_completed,first_feature_used,feature_usage_count,total_sessions,login_frequency,avg_session_duration,subscription_type,plan_type,subscription_date,monthly_revenue,retention_days,last_login_date,churn_status,active_status
1,2025-06-23,2025-06,Australia,Tablet,Google Ads,True,True,True,File Sharing,40,113,Daily,32.36,Free,Free,,0,361,2026-04-30,Active,Active User
2,2026-02-25,2026-02,USA,Mobile,Direct,True,True,False,,0,0,Rare,29.28,Free,Free,,0,55,2026-01-31,Churned,Inactive User
3,2025-09-03,2025-09,USA,Desktop,Organic Search,True,True,True,Analytics Dashboard,88,372,Monthly,40.56,Free,Free,,0,77,2026-05-03,Active,Active User
4,2025-10-08,2025-10,UK,Desktop,Email Campaign,True,False,False,,0,0,Rare,32.71,Free,Free,,0,349,2026-05-07,Active,Active User
5,2025-07-11,2025-07,UK,Tablet,Direct,True,False,False,,0,0,Rare,32.52,Free,Free,,0,332,2026-05-18,Active,Active User
6,2026-03-31,2026-03,India,Desktop,Direct,True,True,True,Analytics Dashboard,65,262,Daily,71.69,Premium,Pro,2026-05-18,50,350,2026-02-16,Churned,Inactive User
7,2025-11-18,2025-11,UK,Mobile,LinkedIn,True,True,True,Task Management,48,90,Weekly,25.83,Free,Free,,0,82,2026-04-24,Active,Active User
8,2025-12-25,2025-12,Canada,Tablet,Referral,True,True,True,Team Collaboration,174,200,Daily,11.28,Free,Free,,0,136,2026-01-16,Churned,Inactive User
9,2025-06-08,2025-06,Germany,Mobile,Referral,True,False,False,,0,0,Rare,40.26,Free,Free,,0,10,2026-05-05,Active,Active User
10,2025-07-06,2025-07,Germany,Desktop,Email Campaign,True,True,True,Task Management,46,193,Monthly,7.74,Free,Free,,0,47,2026-01-22,Churned,Inactive User
11,2026-03-22,2026-03,UK,Desktop,LinkedIn,False,False,False,,0,0,Rare,32.87,Free,Free,,0,191,2026-04-24,Active,Active User
12,2026-03-23,2026-03,UK,Mobile,Organic Search,True,True,True,Analytics Dashboard,71,472,Daily,31.91,Free,Free,,0,105,2026-01-13,Churned,Inactive User
13,2025-07-12,2025-07,UK,Desktop,Referral,True,True,True,Task Management,140,115,Weekly,35.93,Free,Free,,0,29,2026-05-10,Active,Active User
14,2025-10-03,2025-10,Australia,Mobile,Referral,False,False,False,,0,0,Rare,22.49,Free,Free,,0,131,2026-03-06,Churned,Inactive User
15,2025-06-17,2025-06,India,Mobile,Direct,True,False,False,,0,0,Rare,28.84,Free,Free,,0,199,2026-05-06,Active,Active User
16,2025-11-26,2025-11,UK,Mobile,Direct,True,True,True,File Sharing,172,282,Daily,32.77,Premium,Enterprise,2025-11-30,10,142,2026-05-03,Active,Active User
17,2025-12-16,2025-12,USA,Desktop,Referral,True,True,True,Calendar Integration,22,441,Monthly,76.37,Premium,Basic,2025-12-19,50,219,2026-02-09,Churned,Inactive User
18,2025-05-24,2025-05,Australia,Tablet,Google Ads,False,False,False,,0,0,Rare,42.52,Free,Free,,0,89,2025-12-11,Churned,Inactive User
19,2026-01-16,2026-01,Canada,Tablet,Email Campaign,True,False,False,,0,0,Rare,41.79,Free,Free,,0,236,2026-04-27,Active,Active User
20,2025-06-04,2025-06,Canada,Tablet,LinkedIn,False,False,False,,0,0,Rare,23.44,Free,Free,,0,272,2026-05-19,Active,Active User
21,2025-09-01,2025-09,India,Desktop,Email Campaign,True,True,True,Team Collaboration,101,285,Monthly,12.8,Free,Free,,0,264,2026-05-01,Active,Active User
22,2026-01-15,2026-01,Australia,Tablet,Direct,False,False,False,,0,0,Rare,59.59,Premium,Enterprise,2026-02-08,30,20,2026-05-06,Active,Active User
23,2026-03-19,2026-03,UK,Tablet,Organic Search,True,True,True,Task Management,77,27,Daily,17.77,Free,Free,,0,254,2025-11-26,Churned,Inactive User
24,2025-10-30,2025-10,Canada,Tablet,Direct,False,False,False,,0,0,Rare,34.69,Free,Free,,0,123,2025-12-15,Churned,Inactive User
25,2026-01-24,2026-01,Canada,Tablet,Organic Search,True,True,True,Analytics Dashboard,86,224,Monthly,27.63,Free,Free,,0,11,2026-05-09,Active,Active User
26,2025-08-16,2025-08,Canada,Tablet,LinkedIn,True,False,False,,0,0,Rare,12.31,Free,Free,,0,191,2026-03-08,Churned,Inactive User
27,2026-04-02,2026-04,Canada,Tablet,LinkedIn,True,False,False,,0,0,Rare,28.37,Free,Free,,0,57,2026-02-10,Churned,Inactive User
28,2026-05-05,2026-05,Germany,Desktop,Referral,True,True,True,Workflow Automation,179,155,Daily,12.01,Free,Free,,0,335,2025-12-21,Churned,Inactive User
29,2025-10-10,2025-10,Germany,Desktop,LinkedIn,True,False,False,,0,0,Rare,5.27,Free,Free,,0,360,2026-04-29,Active,Active User
30,2026-02-24,2026-02,USA,Tablet,Google Ads,False,False,False,,0,0,Rare,11.84,Free,Free,,0,51,2026-01-13,Churned,Inactive User
31,2026-01-08,2026-01,India,Mobile,Direct,True,True,False,,0,0,Rare,26.91,Free,Free,,0,206,2026-01-07,Churned,Inactive User
32,2026-02-01,2026-02,Australia,Desktop,Google Ads,True,True,True,Analytics Dashboard,15,284,Monthly,74.39,Premium,Pro,2026-03-10,10,65,2026-04-24,Active,Active User
33,2025-06-14,2025-06,Germany,Mobile,Direct,True,True,True,Workflow Automation,127,481,Monthly,6.86,Free,Free,,0,125,2025-12-18,Churned,Inactive User
34,2025-11-10,2025-11,India,Tablet,Organic Search,True,False,False,,0,0,Rare,28.18,Free,Free,,0,130,2026-05-02,Active,Active User
35,2026-02-04,2026-02,USA,Tablet,Direct,True,True,False,,0,0,Rare,18.22,Free,Free,,0,273,2026-04-24,Active,Active User
36,2026-03-22,2026-03,India,Desktop,Google Ads,True,True,True,File Sharing,43,296,Weekly,40.05,Premium,Enterprise,2026-05-20,20,84,2026-05-06,Active,Active User
37,2025-06-18,2025-06,Australia,Desktop,Referral,False,False,False,,0,0,Rare,25.96,Free,Free,,0,145,2026-01-05,Churned,Inactive User
38,2026-01-21,2026-01,India,Desktop,LinkedIn,True,True,True,Calendar Integration,171,427,Daily,42.55,Free,Free,,0,347,2026-05-10,Active,Active User
39,2025-07-11,2025-07,Australia,Mobile,Organic Search,True,True,True,Team Collaboration,43,130,Monthly,26.13,Free,Free,,0,155,2026-04-24,Active,Active User
40,2025-07-15,2025-07,Australia,Mobile,Referral,True,False,False,,0,0,Rare,35.55,Premium,Pro,2025-09-10,10,16,2026-03-08,Churned,Inactive User
41,2026-04-05,2026-04,India,Tablet,LinkedIn,True,True,False,,0,0,Rare,35.93,Free,Free,,0,186,2026-04-02,Churned,Inactive User
42,2026-04-05,2026-04,UK,Desktop,LinkedIn,True,True,True,Calendar Integration,6,64,Weekly,7.31,Free,Free,,0,84,2026-02-11,Churned,Inactive User
43,2025-07-15,2025-07,USA,Desktop,LinkedIn,True,False,False,,0,0,Rare,12.68,Free,Free,,0,231,2026-04-19,Churned,Inactive User
44,2025-07-25,2025-07,USA,Tablet,LinkedIn,False,False,False,,0,0,Rare,41.64,Free,Free,,0,260,2026-05-05,Active,Active User
45,2025-09-01,2025-09,USA,Desktop,Organic Search,True,True,True,Analytics Dashboard,33,128,Monthly,38.11,Free,Free,,0,254,2026-05-09,Active,Active User
46,2025-06-03,2025-06,Australia,Tablet,Referral,True,True,False,,0,0,Rare,8.14,Free,Free,,0,102,2026-04-26,Active,Active User
47,2026-02-28,2026-02,UK,Mobile,Direct,False,False,False,,0,0,Rare,44.19,Premium,Enterprise,2026-04-29,10,61,2026-05-12,Active,Active User
